# ╔══════════════════════════════════════════════════════╗
# ║     Enterprise Honeypot Threat Intelligence Feed      ║
# ║     by Loki | T-Pot v24.04.1 | AWS eu-central-1      ║
# ╚══════════════════════════════════════════════════════╝
#
# Updated: 2026-03-16 15:26:54 UTC
# Total IPs: 1000
# Criteria: HIGH and CRITICAL threat score from live honeypot
# Sources: VirusTotal + AbuseIPDB correlation
# Format: IP | Threat Level | Score | ISP | Country
#
# Usage:
#   iptables: iptables -A INPUT -s <IP> -j DROP
#   firewall: Add to blocklist/blackhole route
#

# ── CRITICAL THREATS ─────────────────────────────────
176.65.139.44        # CRITICAL | Score: 98 | Storm Industries | DE
18.116.101.220       # CRITICAL | Score: 98 | Amazon Technologies Inc. | US
16.58.56.214         # CRITICAL | Score: 98 | Amazon.com, Inc. | US
36.154.50.214        # CRITICAL | Score: 98 | China Mobile Communications Co | CN
176.65.139.44        # CRITICAL | Score: 98 | Storm Industries | DE
130.12.180.55        # CRITICAL | Score: 96 | Virtualine Technologies | US
130.12.180.80        # CRITICAL | Score: 96 | Virtualine Technologies | US
130.12.180.72        # CRITICAL | Score: 96 | Virtualine Technologies | US
18.116.101.220       # CRITICAL | Score: 96 | Amazon Technologies Inc. | US
130.12.180.55        # CRITICAL | Score: 96 | Virtualine Technologies | US
130.12.180.80        # CRITICAL | Score: 96 | Virtualine Technologies | US
130.12.180.72        # CRITICAL | Score: 96 | Virtualine Technologies | US
18.116.101.220       # CRITICAL | Score: 96 | Amazon Technologies Inc. | US
3.129.187.38         # CRITICAL | Score: 96 | Amazon Technologies Inc. | US
130.12.180.55        # CRITICAL | Score: 96 | Virtualine Technologies | US
130.12.180.80        # CRITICAL | Score: 96 | Virtualine Technologies | US
130.12.180.72        # CRITICAL | Score: 96 | Virtualine Technologies | US
34.158.79.105        # CRITICAL | Score: 96 | Google LLC | NL
45.138.16.145        # CRITICAL | Score: 96 | 1337 Services GmbH | PL
130.12.180.72        # CRITICAL | Score: 96 | Virtualine Technologies | US
130.12.180.80        # CRITICAL | Score: 96 | Virtualine Technologies | US
130.12.180.55        # CRITICAL | Score: 96 | Virtualine Technologies | US
163.7.12.49          # CRITICAL | Score: 96 | BYTEPLUS | ID
45.138.16.145        # CRITICAL | Score: 96 | 1337 Services GmbH | PL
34.158.79.105        # CRITICAL | Score: 96 | Google LLC | NL
130.12.180.72        # CRITICAL | Score: 96 | Virtualine Technologies | US
130.12.180.80        # CRITICAL | Score: 96 | Virtualine Technologies | US
130.12.180.55        # CRITICAL | Score: 96 | Virtualine Technologies | US
3.129.187.38         # CRITICAL | Score: 96 | Amazon Technologies Inc. | US
34.158.79.105        # CRITICAL | Score: 96 | Google LLC | NL
45.156.128.122       # CRITICAL | Score: 96 | INAP-AMS-1 | PT
185.180.141.2        # CRITICAL | Score: 96 | ICG-1-ZEN-DFW | PT
185.180.141.69       # CRITICAL | Score: 96 | ICG-1-ZEN-DFW | PT
